,Id,protoform,DoT,DoS,DoF,class,label
0,0.0,"Among records that contribute against predicting 0 class, most of them have energy-related features at low level.",0.0,0.6013333333333334,0.7131985999686826,0,energy
1,1.0,"Among records that contribute against predicting 0 class, most of them have energy-related features at medium level.",0.0,0.21542857142857144,0.7131985999686826,0,energy
2,2.0,"Among records that contribute against predicting 0 class, most of them have energy-related features at high level.",0.0,0.5964761904761905,0.7131985999686826,0,energy
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have energy-related features at low level.",0.0,0.19133333333333333,0.059406393507151344,0,energy
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have energy-related features at medium level.",0.0,0.06247619047619048,0.059406393507151344,0,energy
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have energy-related features at high level.",0.3889097851864022,0.18219047619047618,0.059406393507151344,0,energy
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have energy-related features at low level.",0.0,0.17923809523809525,0.22406167319083167,0,energy
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have energy-related features at medium level.",0.0,0.04533333333333334,0.22406167319083167,0,energy
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have energy-related features at high level.",0.0,0.15828571428571428,0.22406167319083167,0,energy
0,0.0,"Among records that contribute against predicting 0 class, most of them have pitch-related features at low level.",0.0,0.3861111111111111,0.4816124012856559,0,pitch
1,1.0,"Among records that contribute against predicting 0 class, most of them have pitch-related features at medium level.",0.0,0.26166666666666666,0.4816124012856559,0,pitch
2,2.0,"Among records that contribute against predicting 0 class, most of them have pitch-related features at high level.",0.0,0.2875,0.4816124012856559,0,pitch
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pitch-related features at low level.",0.0,0.04416666666666667,0.031408095782919684,0,pitch
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pitch-related features at medium level.",0.0,0.034722222222222224,0.031408095782919684,0,pitch
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pitch-related features at high level.",0.0,0.04138888888888889,0.031408095782919684,0,pitch
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pitch-related features at low level.",0.0,0.31972222222222224,0.48364616959809137,0,pitch
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pitch-related features at medium level.",0.0,0.22805555555555557,0.48364616959809137,0,pitch
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pitch-related features at high level.",0.0,0.34444444444444444,0.48364616959809137,0,pitch
0,0.0,"Among records that contribute against predicting 0 class, most of them have spectral-related features at low level.",0.0,0.24407407407407408,0.5591796821791458,0,spectral
1,1.0,"Among records that contribute against predicting 0 class, most of them have spectral-related features at medium level.",0.0,0.267037037037037,0.5591796821791458,0,spectral
2,2.0,"Among records that contribute against predicting 0 class, most of them have spectral-related features at high level.",1.0,0.49592592592592594,0.5591796821791458,0,spectral
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have spectral-related features at low level.",0.0,0.16111111111111112,0.05039967423831524,0,spectral
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have spectral-related features at medium level.",0.0,0.056666666666666664,0.05039967423831524,0,spectral
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have spectral-related features at high level.",0.0,0.1337037037037037,0.05039967423831524,0,spectral
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have spectral-related features at low level.",1.0,0.35333333333333333,0.38708731024920534,0,spectral
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have spectral-related features at medium level.",0.0,0.19814814814814816,0.38708731024920534,0,spectral
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have spectral-related features at high level.",0.0,0.07962962962962963,0.38708731024920534,0,spectral
0,0.0,"Among records that contribute against predicting 0 class, most of them have quality-related features at low level.",0.0,0.6706666666666666,0.7705323855012317,0,quality
1,1.0,"Among records that contribute against predicting 0 class, most of them have quality-related features at medium level.",0.0,0.066,0.7705323855012317,0,quality
2,2.0,"Among records that contribute against predicting 0 class, most of them have quality-related features at high level.",1.0,0.68,0.7705323855012317,0,quality
